grid_id,cell_size_m,centroid_lon,centroid_lat,project_crs,research_aoi_only,nearest_anchor,nearest_anchor_m,nearest_route_evidence,nearest_route_evidence_m,visual_route_evidence,route_evidence_confidence,vegetation_gis_status,terrain_source_status,overall_reconstruction_evidence,research_priority,focus_envelope_heuristic,warning,veg2024_layer_status,veg2024_crs,veg2024_use_note,terrain_best_dem_resolution,evidence_grade_revision
G000_010,250,138.550952,35.453537,EPSG:6676,True,Fugaku Wind Cave,10015.2,Fugaku–Narusawa public cave corridor,10015.2,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_011,250,138.550953,35.45579,EPSG:6676,True,Fugaku Wind Cave,9951.7,Fugaku–Narusawa public cave corridor,9951.7,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_012,250,138.550954,35.458044,EPSG:6676,True,Fugaku Wind Cave,9894.0,Fugaku–Narusawa public cave corridor,9894.0,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_013,250,138.550956,35.460297,EPSG:6676,True,Fugaku Wind Cave,9842.4,Fugaku–Narusawa public cave corridor,9842.4,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_014,250,138.550957,35.462551,EPSG:6676,True,Fugaku Wind Cave,9796.9,Fugaku–Narusawa public cave corridor,9796.9,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_015,250,138.550959,35.464804,EPSG:6676,True,Fugaku Wind Cave,9757.6,Fugaku–Narusawa public cave corridor,9757.6,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_016,250,138.55096,35.467058,EPSG:6676,True,Fugaku Wind Cave,9724.6,Fugaku–Narusawa public cave corridor,9724.6,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_017,250,138.550961,35.469311,EPSG:6676,True,Fugaku Wind Cave,9697.9,Fugaku–Narusawa public cave corridor,9697.9,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_018,250,138.550963,35.471565,EPSG:6676,True,Fugaku Wind Cave,9677.5,Fugaku–Narusawa public cave corridor,9677.5,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_019,250,138.550964,35.473818,EPSG:6676,True,Fugaku Wind Cave,9663.6,Fugaku–Narusawa public cave corridor,9663.6,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_020,250,138.550966,35.476072,EPSG:6676,True,Fugaku Wind Cave,9656.2,Fugaku–Narusawa public cave corridor,9656.2,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_021,250,138.550967,35.478325,EPSG:6676,True,Fugaku Wind Cave,9655.2,Fugaku–Narusawa public cave corridor,9655.2,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_022,250,138.550969,35.480579,EPSG:6676,True,Fugaku Wind Cave,9660.7,Fugaku–Narusawa public cave corridor,9660.7,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_023,250,138.55097,35.482832,EPSG:6676,True,Fugaku Wind Cave,9672.7,Fugaku–Narusawa public cave corridor,9672.7,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_024,250,138.550971,35.485086,EPSG:6676,True,Fugaku Wind Cave,9691.1,Fugaku–Narusawa public cave corridor,9691.1,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_025,250,138.550973,35.487339,EPSG:6676,True,Fugaku Wind Cave,9715.9,Fugaku–Narusawa public cave corridor,9715.9,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_026,250,138.550974,35.489593,EPSG:6676,True,Fugaku Wind Cave,9747.1,Fugaku–Narusawa public cave corridor,9747.1,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_027,250,138.550976,35.491846,EPSG:6676,True,Fugaku Wind Cave,9784.5,Fugaku–Narusawa public cave corridor,9784.5,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_028,250,138.550977,35.4941,EPSG:6676,True,Fugaku Wind Cave,9828.2,Fugaku–Narusawa public cave corridor,9828.2,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_029,250,138.550979,35.496353,EPSG:6676,True,Fugaku Wind Cave,9877.9,Fugaku–Narusawa public cave corridor,9877.9,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_030,250,138.55098,35.498607,EPSG:6676,True,Fugaku Wind Cave,9933.8,Fugaku–Narusawa public cave corridor,9933.8,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_031,250,138.550981,35.50086,EPSG:6676,True,Fugaku Wind Cave,9995.6,Fugaku–Narusawa public cave corridor,9995.6,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_032,250,138.550983,35.503114,EPSG:6676,True,Fugaku Wind Cave,10063.2,Fugaku–Narusawa public cave corridor,10063.2,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
